Identifier,Chemical Formula,Si/Al ratio,Note
PON000,O48Si24,1.0,Primitive P1 all-silica zeolite from IZA.
AFR000,O64Si32,1.0,Primitive P1 all-silica zeolite from IZA.
MVY000,O24Si12,1.0,Primitive P1 all-silica zeolite from IZA.
AFI000,O48Si24,1.0,Primitive P1 all-silica zeolite from IZA.
RWY000,O48Si24,1.0,Primitive P1 all-silica zeolite from IZA.
MOZ000,O216Si108,1.0,Primitive P1 all-silica zeolite from IZA.
BSV000,O96Si48,1.0,Primitive P1 all-silica zeolite from IZA.
NON000,O44Si22,1.0,Primitive P1 all-silica zeolite from IZA.
HEU000,O36Si18,1.0,Primitive P1 all-silica zeolite from IZA.
CAS000,O24Si12,1.0,Primitive P1 all-silica zeolite from IZA.
FAR000,O168Si84,1.0,Primitive P1 all-silica zeolite from IZA.
OSO000,O18Si9,1.0,Primitive P1 all-silica zeolite from IZA.
UFI000,O64Si32,1.0,Primitive P1 all-silica zeolite from IZA.
DFT000,O16Si8,1.0,Primitive P1 all-silica zeolite from IZA.
RHO000,O48Si24,1.0,Primitive P1 all-silica zeolite from IZA.
SFE000,O28Si14,1.0,Primitive P1 all-silica zeolite from IZA.
NAT000,O20Si10,1.0,Primitive P1 all-silica zeolite from IZA.
AWO000,O48Si24,1.0,Primitive P1 all-silica zeolite from IZA.
SAF000,O64Si32,1.0,Primitive P1 all-silica zeolite from IZA.
KFI000,O96Si48,1.0,Primitive P1 all-silica zeolite from IZA.
AFX000,O96Si48,1.0,Primitive P1 all-silica zeolite from IZA.
OWE000,O32Si16,1.0,Primitive P1 all-silica zeolite from IZA.
EAB000,O72Si36,1.0,Primitive P1 all-silica zeolite from IZA.
STF000,O32Si16,1.0,Primitive P1 all-silica zeolite from IZA.
SAO000,O56Si28,1.0,Primitive P1 all-silica zeolite from IZA.
SOF000,O40Si20,1.0,Primitive P1 all-silica zeolite from IZA.
JBW000,O12Si6,1.0,Primitive P1 all-silica zeolite from IZA.
AFS000,O112Si56,1.0,Primitive P1 all-silica zeolite from IZA.
SGT000,O64Si32,1.0,Primitive P1 all-silica zeolite from IZA.
RRO000,O36Si18,1.0,Primitive P1 all-silica zeolite from IZA.
MTT000,O48Si24,1.0,Primitive P1 all-silica zeolite from IZA.
VSV000,O36Si18,1.0,Primitive P1 all-silica zeolite from IZA.
NPO000,O12Si6,1.0,Primitive P1 all-silica zeolite from IZA.
NES000,O68Si34,1.0,Primitive P1 all-silica zeolite from IZA.
LTL000,O72Si36,1.0,Primitive P1 all-silica zeolite from IZA.
GME000,O48Si24,1.0,Primitive P1 all-silica zeolite from IZA.
DOH000,O68Si34,1.0,Primitive P1 all-silica zeolite from IZA.
BOG000,O96Si48,1.0,Primitive P1 all-silica zeolite from IZA.
BRE000,O32Si16,1.0,Primitive P1 all-silica zeolite from IZA.
RSN000,O36Si18,1.0,Primitive P1 all-silica zeolite from IZA.
SFO000,O32Si16,1.0,Primitive P1 all-silica zeolite from IZA.
LTA000,O48Si24,1.0,Primitive P1 all-silica zeolite from IZA.
AST000,O20Si10,1.0,Primitive P1 all-silica zeolite from IZA.
VFI000,O72Si36,1.0,Primitive P1 all-silica zeolite from IZA.
IRR000,O104Si52,1.0,Primitive P1 all-silica zeolite from IZA.
ABW000,O8Si4,1.0,Primitive P1 all-silica zeolite from IZA.
MWF000,O1440Si720,1.0,Primitive P1 all-silica zeolite from IZA.
